State,Participation,Evidence-Based Reading and Writing,Math,Total,No of SAT Takers,High School Graduates,Percentage
Alabama,6%,595,571,1166,2878,49844,0.05774014927
Alaska,43%,562,544,1106,3334,7796,0.4276552078
Arizona,29%,577,572,1149,20188,68627,0.2941699331
Arkansas,5%,592,576,1169,1591,31126,0.05111482362
California,60%,540,536,1076,262228,435365,0.6023175956
Colorado,100%,519,506,1025,58790,57545,1.021635242
Connecticut,100%,535,519,1053,44700,40782,1.096071796
Delaware,100%,505,492,998,11055,9809,1.1270262
District of Columbia,92%,497,480,977,4985,5397,0.9236612933
Florida,56%,550,549,1099,176746,181306,0.9748491501
Georgia,70%,542,522,1064,74240,106727,0.6956065475
Hawaii,56%,480,530,1010,7880,14043,0.5611336609
Idaho,100%,508,493,1001,20484,20239,1.012105341
Illinois,99%,513,506,1019,145919,146800,0.9939986376
Indiana,63%,542,532,1074,48962,73285,0.6681039776
Iowa,3%,634,631,1265,994,35471,0.02802289194
Kansas,4%,633,631,1265,1419,35398,0.04008701057
Kentucky,4%,630,618,1248,1925,46389,0.04149690659
Louisiana,4%,615,595,1210,2027,46235,0.04384124581
Maine,99%,512,501,1013,14310,14428,0.9918214583
Maryland,76%,545,535,1080,48040,63485,0.7567141845
Massachusetts,80%,562,563,1125,59382,73992,0.8025462212
Michigan,100%,511,499,1011,115281,104586,1.102260341
Minnesota,4%,643,655,1298,2464,61766,0.03989249749
Mississippi,3%,630,606,1236,806,29788,0.02705787565
Missouri,4%,633,629,1262,2420,68681,0.03523536349
Montana,10%,606,592,1198,952,9402,0.1012550521
Nebraska,3%,629,623,1252,688,23627,0.029119228
Nevada,23%,574,566,1140,5588,24688,0.2263447829
New Hampshire,96%,535,528,1063,14834,15401,0.9631842088
New Jersey,82%,547,547,1094,84672,103598,0.8173130755
New Mexico,16%,552,540,1093,3225,20478,0.1574860826
New York,79%,534,534,1068,162551,206830,0.7859159696
North Carolina,52%,554,543,1098,54987,106104,0.5182368242
North Dakota,2%,640,643,1283,148,7400,0.02
Oklahoma,8%,541,521,1062,3337,41753,0.07992240079
Ohio,18%,552,547,1099,22992,124473,0.1847147574
Oregon,48%,564,553,1117,17476,36734,0.4757445418
Pennsylvania,70%,547,539,1086,96740,139053,0.6957059538
Rhode Island,97%,513,505,1018,10161,10464,0.971043578
South Carolina,55%,547,523,1070,25390,46536,0.5455991061
South Dakota,3%,622,618,1240,260,8703,0.02987475583
Tennessee,6%,624,607,1231,4181,67863,0.06160941898
Texas,66%,520,512,1032,226374,341613,0.6626621352
Utah,4%,480,530,1010,1425,38706,0.03681599752
Vermont,64%,565,554,1120,4323,6777,0.637892873
Virginia,68%,567,550,1117,61576,90456,0.6807287521
Washington,69%,543,538,1081,48574,70307,0.6908842647
West Virginia,28%,513,486,999,5058,17815,0.2839180466
Wisconsin,3%,641,653,1294,1923,66246,0.02902816774
Wyoming,3%,633,625,1257,169,5820,0.02903780069